shortName,name,href,uid,guid,id,height,position,hand,jersey,birthPlace,headshot,lastName,experience
A. Andrews,Alana Andrews,https://www.espn.com/womens-college-basketball/player/_/id/5241810/alana-andrews,s:40~l:54~a:5241810,03a4a20a-77bd-37b0-bea6-61bffda433c7,5241810,"6' 2""",G,L,1,"New York, NY",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5241810.png,Alana Andrews,SO
A. Chen,Audrey Chen,https://www.espn.com/womens-college-basketball/player/_/id/5241811/audrey-chen,s:40~l:54~a:5241811,160bc641-557a-3112-96a5-876f0fd541e8,5241811,"5' 7""",G,,12,"South Pasadena, CA",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5241811.png,Audrey Chen,SO
A. Childers,Ashley Childers,https://www.espn.com/womens-college-basketball/player/_/id/5313304/ashley-childers,s:40~l:54~a:5313304,52280e5d-cc7d-3648-b3f7-c32d81e4af67,5313304,"6' 3""",F,,10,"Los Gatos, CA",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5313304.png,Ashley Childers,FR
W. Chinn,Willa Chinn,https://www.espn.com/womens-college-basketball/player/_/id/5313306/willa-chinn,s:40~l:54~a:5313306,8ee67d83-e67b-3d68-93e1-cbbe15168ca3,5313306,"5' 10""",G,,20,"Seattle, WA",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5313306.png,Willa Chinn,FR
P. Engels,Paige Engels,https://www.espn.com/womens-college-basketball/player/_/id/5241809/paige-engels,s:40~l:54~a:5241809,f5c02a62-ea79-3dbd-aa3a-4a33bf6e9e1d,5241809,"5' 8""",G,,33,"Golf, IL",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5241809.png,Paige Engels,SO
C. Jackson,Clarke Jackson,https://www.espn.com/womens-college-basketball/player/_/id/5176410/clarke-jackson,s:40~l:54~a:5176410,298f6e84-b687-3e2b-bbce-03c022af2a01,5176410,"5' 9""",G,,22,"Columbus, OH",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5176410.png,Clarke Jackson,JR
T. Jones,Trinity Jones,https://www.espn.com/womens-college-basketball/player/_/id/5313303/trinity-jones,s:40~l:54~a:5313303,4ac438b4-e3d0-3e7b-b7e9-08943101cd7e,5313303,"5' 7""",G,,4,"Phoenix, AZ",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5313303.png,Trinity Jones,FR
R. Kaus,Rachel Kaus,https://www.espn.com/womens-college-basketball/player/_/id/5176408/rachel-kaus,s:40~l:54~a:5176408,bfc4c237-2548-373b-8a4e-ed3427634635,5176408,"6' 0""",G,,5,"Lake Bluff, IL",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5176408.png,Rachel Kaus,JR
A. Kilgoe,Azareya Kilgoe,https://www.espn.com/womens-college-basketball/player/_/id/5176407/azareya-kilgoe,s:40~l:54~a:5176407,f63d5583-c2a9-3f2e-bd04-7a1a2b220c37,5176407,"5' 4""",G,,0,"Seaford, DE",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5176407.png,Azareya Kilgoe,JR
V. Knee,Vivienne Knee,https://www.espn.com/womens-college-basketball/player/_/id/5108936/vivienne-knee,s:40~l:54~a:5108936,d6512ea1-eb8d-3a7e-b529-30fecd93e137,5108936,"5' 9""",G,B,3,"New York, NY",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5108936.png,Vivienne Knee,SR
K. Langston,Kelsey Langston,https://www.espn.com/womens-college-basketball/player/_/id/5241812/kelsey-langston,s:40~l:54~a:5241812,9fbd43bf-ec2a-31dc-bcae-d3140567310b,5241812,"5' 7""",G,,21,"Wilmette, IL",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5241812.png,Kelsey Langston,SO
A. Pape,Ally Pape,https://www.espn.com/womens-college-basketball/player/_/id/5313307/ally-pape,s:40~l:54~a:5313307,e70d097a-2934-35c8-be5f-5345a67c310a,5313307,"5' 11""",G,,25,"Park Ridge, IL",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5313307.png,Ally Pape,FR
E. Pape,Emily Pape,https://www.espn.com/womens-college-basketball/player/_/id/5108938/emily-pape,s:40~l:54~a:5108938,a86ff48b-7962-347f-a7b0-cbc29e392526,5108938,"6' 1""",F,,32,"Park Ridge, IL",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5108938.png,Emily Pape,SR
G. Renners,Grace Renners,https://www.espn.com/womens-college-basketball/player/_/id/5313305/grace-renners,s:40~l:54~a:5313305,110b15c1-d94c-3ff8-905c-d95c8abc43b4,5313305,"6' 1""",F,,11,"Bellevue, WA",https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5313305.png,Grace Renners,FR
