id,text,homeAway,participants,shootingPlay,pointsAttempted,period.number,athlete.id,coordinate.x,coordinate.y,type.categoryId,type.id,type.txt,scoringPlay,gameId
401823236113867306,Rachel Kaus missed Jumper.,away,[{'id': '5176408'}],True,2,1,5176408,34,14,1005,558,JumpShot,,401823236
401823236113867324,Mimi Rubino missed Layup.,home,[{'id': '4704428'}],True,2,1,4704428,24,1,1005,572,LayUpShot,,401823236
401823236113867372,Emily Pape missed Jumper.,away,[{'id': '5108938'}],True,2,1,5108938,14,3,1005,558,JumpShot,,401823236
401823236113867379,Martina Boba made Layup. Assisted by Maranda Nyborg.,home,"[{'id': '5174518'}, {'id': '4703747'}]",True,2,1,5174518,24,2,1002,572,LayUpShot,True,401823236
401823236113867430,Clarke Jackson missed Jumper.,away,[{'id': '5176410'}],True,2,1,5176410,25,17,1005,558,JumpShot,,401823236
401823236113867529,Nia Scott made Layup.,home,[{'id': '5174519'}],True,2,1,5174519,23,3,1002,572,LayUpShot,True,401823236
401823236113867535,Clarke Jackson missed Jumper.,away,[{'id': '5176410'}],True,2,1,5176410,25,12,1005,558,JumpShot,,401823236
401823236113867608,Nia Scott missed Layup.,home,[{'id': '5174519'}],True,2,1,5174519,22,2,1005,572,LayUpShot,,401823236
401823236113867731,Clarke Jackson made Layup. Assisted by Kelsey Langston.,away,"[{'id': '5176410'}, {'id': '5241812'}]",True,2,1,5176410,26,2,1002,572,LayUpShot,True,401823236
401823236113867796,Nia Scott missed Free Throw.,home,[{'id': '5174519'}],True,1,1,5174519,25,0,1004,540,MadeFreeThrow,,401823236
401823236113867853,Nia Scott made Free Throw.,home,[{'id': '5174519'}],True,1,1,5174519,25,0,1001,540,MadeFreeThrow,True,401823236
401823236113867899,Rachel Kaus missed Layup.,away,[{'id': '5176408'}],True,2,1,5176408,28,2,1005,572,LayUpShot,,401823236
401823236113867989,Mimi Rubino missed Layup.,home,[{'id': '4704428'}],True,2,1,4704428,29,4,1005,572,LayUpShot,,401823236
401823236113868046,Paige Engels missed Three Point Jumper.,away,[{'id': '5241809'}],True,3,1,5241809,48,0,1006,558,JumpShot,,401823236
401823236113868377,Mimi Rubino missed Jumper.,home,[{'id': '4704428'}],True,2,1,4704428,32,16,1005,558,JumpShot,,401823236
401823236113868425,Ally Pape missed Three Point Jumper.,away,[{'id': '5313307'}],True,3,1,5313307,3,-2,1006,558,JumpShot,,401823236
401823236113868460,Rose Nelson made Layup. Assisted by Martina Boba.,home,"[{'id': '5107432'}, {'id': '5174518'}]",True,2,1,5107432,24,1,1002,572,LayUpShot,True,401823236
401823236113868498,Rose Nelson missed Free Throw.,home,[{'id': '5107432'}],True,1,1,5107432,25,0,1004,540,MadeFreeThrow,,401823236
401823236113868556,Nia Scott made Layup. Assisted by Izzy Adams.,home,"[{'id': '5174519'}, {'id': '5312952'}]",True,2,1,5174519,23,3,1002,572,LayUpShot,True,401823236
401823236113868628,Audrey Chen missed Layup.,away,[{'id': '5241811'}],True,2,1,5241811,28,2,1005,572,LayUpShot,,401823236
401823236113868647,Martina Boba made Three Point Jumper. Assisted by Nia Scott.,home,"[{'id': '5174518'}, {'id': '5174519'}]",True,3,1,5174518,48,1,1003,558,JumpShot,True,401823236
401823236113868872,Paige Engels missed Layup.,away,[{'id': '5241809'}],True,2,1,5241809,28,2,1005,572,LayUpShot,,401823236
